Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
AAPL,Common Stock,Apple Inc,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.",320193,NASDAQ,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE INFINITE LOOP, CUPERTINO, CA, US",September,2022-09-30,2062007796000,130541003000,21.21,2.75,3.178,0.9,0.0074,6.11,24.32,0.253,0.303,0.212,1.755,394328015000,170782000000,6.11,0.048,0.081,174.62,21.21,23.09,5.51,44.63,5.92,17.53,1.272,178.8,124.17,141.8,151.04,15908100000,2022-11-10,2022-11-04
AMGN,Common Stock,Amgen Inc,"Amgen Inc. (formerly Applied Molecular Genetics Inc.) is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. Focused on molecular biology and biochemistry, its goal is to provide a healthcare business based on recombinant DNA technology.",318154,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","ONE AMGEN CENTER DRIVE, THOUSAND OAKS, CA, US",December,2022-09-30,142390886000,13425000000,21.5,1.55,6.85,7.58,0.0324,12.41,48.29,0.26,0.388,0.0993,1.152,26329999000,19525000000,12.41,0.202,-0.008,269.44,21.5,14.95,5.49,39.6,6.53,13.85,0.648,294.64,209.61,275.65,251.5,533579000,2023-03-08,2023-02-14
AXP,Common Stock,American Express Company,The American Express Company is a multinational financial services corporation headquartered at 200 Vesey Street in the Battery Park City neighborhood of Lower Manhattan in New York City.,4962,NYSE,USD,USA,FINANCE,FINANCE SERVICES,"200 VESEY STREET, 50TH FLOOR, NEW YORK, NY, US",December,2022-09-30,112211984000,None,15.06,1.15,32.05,1.99,0.0142,9.97,65.64,0.154,0.208,0.0384,0.317,49622999000,30799000000,9.97,0.089,0.149,167.72,15.06,13.85,2.321,4.81,-,-,1.158,196.81,130.2,150.44,156.11,747233000,2023-02-10,2023-01-05
BA,Common Stock,The Boeing Company,"The Boeing Company is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, telecommunications equipment, and missiles worldwide. The company also provides leasing and product support services.",12927,NYSE,USD,USA,MANUFACTURING,AIRCRAFT,"P O BOX 3707 MS 1F 31, SEATTLE, WA, US",December,2022-09-30,126944371000,-2680999936,None,6.53,-29.71,0,0,-8.29,103.57,-0.138,-0.0764,-0.0206,0,61420999000,5190000000,-8.29,-0.68,0.044,199.2,-,29.5,1.783,-,2.526,-34.48,1.499,229.67,113.02,175.22,156.97,595983000,2020-03-06,2020-02-13
CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",18230,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"100 NE ADAMS ST, PEORIA, IL, US",December,2022-09-30,129508983000,11151000000,18.16,1.557,29.96,4.62,0.02,13.7,106.4,0.13,0.159,0.0695,0.456,56627999000,13189000000,13.7,0.488,0.209,232.84,18.16,15.9,2.12,7.83,2.688,12.79,1.124,249.91,159.53,230.79,204.86,520409000,2023-02-17,2023-01-19
CRM,Common Stock,Salesforce.com Inc,"Salesforce.com, Inc. is an American cloud-based software company headquartered in San Francisco, California. It provides customer relationship management (CRM) service and also provides a complementary suite of enterprise applications focused on customer service, marketing automation, analytics, and application development.",1108524,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"THE LANDMARK, ONE MARKET STREET STE.300, SAN FRANCISCO, CA, US",January,2022-10-31,140509987000,2561000000,562.04,1.358,59.89,0,0,0.25,30.52,0.0092,0.0164,0.0035,0.0048,30294000000,19466000000,0.25,-0.553,0.142,193.11,562.04,23.75,4.306,2.27,4.517,32.72,1.129,239.28,126.34,143.74,165.64,1000000000,None,None
CSCO,Common Stock,Cisco Systems Inc,"Cisco Systems, Inc. is an American multinational technology conglomerate headquartered in San Jose, California, in the center of Silicon Valley. Cisco develops, manufactures and sells networking hardware, software, telecommunications equipment and other high-technology services and products. Through its numerous acquired subsidiaries, such as OpenDNS, Webex, Jabber and Jasper, Cisco specializes in specific tech markets, such as the Internet of Things (IoT), domain security and energy management. On January 25, 2021, Cisco reincorporated in Delaware.",858877,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER COMMUNICATIONS EQUIPMENT,"170 WEST TASMAN DR, SAN JOSE, CA, US",July,2022-10-31,198503399000,15862000000,17.44,2.35,9.81,1.51,0.0324,2.77,12.62,0.22,0.27,0.0933,0.277,52288999000,32248000000,2.77,-0.071,0.057,55.5,17.44,13.89,3.783,5.03,3.665,11.61,0.966,60.78,38.3,47.01,46.3,4108100000,2023-01-25,2023-01-04
CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",93410,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"6001 BOLLINGER CANYON ROAD, SAN RAMON, CA, US",December,2022-09-30,341403468000,52928999000,10.04,2.575,82.06,5.6,0.0324,17.58,117.48,0.15,0.163,0.0924,0.232,227054993000,66234000000,17.58,0.814,0.492,192.41,10.04,10.38,1.457,2.047,1.467,5.2,1.189,188.22,118.57,178.42,164.25,1933640000,2022-12-12,2022-11-17
DIS,Common Stock,Walt Disney Company,"The Walt Disney Company, commonly known as Disney, is an American diversified multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios complex in Burbank, California.",1744489,NYSE,USD,USA,TRADE & SERVICES,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,"500 SOUTH BUENA VISTA STREET, BURBANK, CA, US",September,2022-09-30,167624393000,11995000000,49.69,0.756,52.09,0,0,1.85,45.4,0.038,0.0826,0.021,0.0337,82721997000,28321000000,1.85,0.016,0.087,125.57,49.69,22.73,1.995,1.807,2.559,17.64,1.233,158.99,84.07,94.64,105.72,1823590000,2020-01-16,2019-12-13
DOW,Common Stock,Dow Inc,"Dow Inc. is an American commodity chemical company. The company is headquartered in Midland, Michigan.",1751788,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","2211 H.H. DOW WAY, MIDLAND, MI, US",December,2022-09-30,38295044000,9958000000,6.99,0,25.74,2.8,0.0556,7.79,81.58,0.096,0.123,0.075,0.323,59407000000,10777000000,7.79,-0.543,-0.049,51.09,6.99,12.44,0.587,1.995,0.82,4.525,1.33,69.21,42.31,50.14,54.81,703759000,2022-12-09,2022-11-29
